condition,training_seed,global_step,policy_mode,seed,return,length,flag_get,progress,terminated,truncated,decision_cap_reached
baseline,0,100000,sampled,2000000,21.21499999999994,91,False,0.19839679358717435,True,False,False
baseline,0,100000,sampled,2000001,-2.5724999999999945,36,False,0.0683366733466934,True,False,False
baseline,0,100000,sampled,2000002,65.32875,210,False,0.4405010020040085,True,False,False
baseline,0,100000,sampled,2000003,90.15499999999967,258,False,0.575738142952572,True,False,False
baseline,0,100000,sampled,2000004,65.75874999999992,166,False,0.44044756179024724,True,False,False
baseline,0,100000,sampled,2000005,26.776249999999926,92,False,0.22816967267869037,True,False,False
baseline,0,100000,sampled,2000006,-1.5587499999999928,29,False,0.0733800935203741,True,False,False
baseline,0,100000,sampled,2000007,62.96374999999991,155,False,0.4249231796927187,True,False,False
baseline,0,100000,sampled,2000008,-2.302499999999995,34,False,0.06967267869071476,True,False,False
baseline,0,100000,sampled,2000009,56.60500000000001,152,False,0.3907815631262525,True,False,False
baseline,0,100000,sampled,2000010,25.57062499999997,112,False,0.22279559118236456,True,False,False
baseline,0,100000,sampled,2000011,56.264999999999965,186,False,0.3907815631262525,True,False,False
baseline,0,100000,sampled,2000012,-1.4787499999999945,28,False,0.07375417501670008,True,False,False
baseline,0,100000,sampled,2000013,78.99499999999975,213,False,0.5136940547762191,True,False,False
baseline,0,100000,sampled,2000014,63.37874999999993,190,False,0.4290113560454243,True,False,False
baseline,0,100000,sampled,2000015,61.22249999999986,222,False,0.41919839679358717,True,False,False
baseline,0,100000,sampled,2000016,26.144999999999968,100,False,0.2252237808951236,True,False,False
baseline,0,100000,sampled,2000017,64.43124999999988,162,False,0.43313961255845024,True,False,False
baseline,0,100000,sampled,2000018,21.20499999999997,92,False,0.19839679358717435,True,False,False
baseline,0,100000,sampled,2000019,24.06249999999993,119,False,0.2151102204408817,True,False,False
baseline,0,100000,greedy,4000000,-1.4424999999999955,28,False,0.07394789579158317,True,False,False
baseline,0,200000,sampled,2000000,65.81499999999998,173,False,0.44112224448897835,True,False,False
baseline,0,200000,sampled,2000001,78.72499999999975,240,False,0.5136940547762191,True,False,False
baseline,0,200000,sampled,2000002,63.321249999999985,208,False,0.4296659986639949,True,False,False
baseline,0,200000,sampled,2000003,14.22499999999994,90,False,0.16098864395457582,True,False,False
baseline,0,200000,sampled,2000004,27.551250000000017,85,False,0.23193720774883117,True,False,False
baseline,0,200000,sampled,2000005,56.234999999999964,162,False,0.38933867735470945,True,False,False
baseline,0,200000,sampled,2000006,64.4874999999999,198,False,0.4353640614562459,True,False,False
baseline,0,200000,sampled,2000007,20.94499999999993,118,False,0.19839679358717435,True,False,False
baseline,0,200000,sampled,2000008,29.25999999999999,99,False,0.24181696726786908,True,False,False
baseline,0,200000,sampled,2000009,21.264999999999958,86,False,0.19839679358717435,True,False,False
baseline,0,200000,sampled,2000010,22.312499999999908,136,False,0.2066666666666667,True,False,False
baseline,0,200000,sampled,2000011,-1.6037499999999856,30,False,0.07319305277221114,True,False,False
baseline,0,200000,sampled,2000012,61.30749999999984,248,False,0.42104208416833655,True,False,False
baseline,0,200000,sampled,2000013,232.74812500000021,450,True,1.0,True,False,False
baseline,0,200000,sampled,2000014,131.87499999999991,325,False,0.8022712090848363,True,False,False
baseline,0,200000,sampled,2000015,24.996249999999968,97,False,0.21892451569806287,True,False,False
baseline,0,200000,sampled,2000016,9.879999999999972,65,False,0.13643286573146293,True,False,False
baseline,0,200000,sampled,2000017,56.44500000000003,168,False,0.3907815631262525,True,False,False
baseline,0,200000,sampled,2000018,21.464999999999982,66,False,0.19839679358717435,True,False,False
baseline,0,200000,sampled,2000019,-2.561874999999988,36,False,0.06839345357381434,True,False,False
baseline,0,200000,greedy,4000000,-1.572499999999998,29,False,0.07330661322645289,True,False,False
baseline,0,300000,sampled,2000000,24.201249999999945,106,False,0.21515698062792246,True,False,False
baseline,0,300000,sampled,2000001,-2.742499999999998,37,False,0.06748162992651968,True,False,False
baseline,0,300000,sampled,2000002,28.705,96,False,0.238690714762859,True,False,False
baseline,0,300000,sampled,2000003,10.283124999999975,69,False,0.13880093520374084,True,False,False
baseline,0,300000,sampled,2000004,27.67000000000001,84,False,0.2325183700734804,True,False,False
baseline,0,300000,sampled,2000005,27.689999999999998,81,False,0.23246492985971945,True,False,False
baseline,0,300000,sampled,2000006,-2.2649999999999917,34,False,0.06987307949231798,True,False,False
baseline,0,300000,sampled,2000007,21.024999999999928,110,False,0.19839679358717435,True,False,False
baseline,0,300000,sampled,2000008,64.09874999999978,201,False,0.4334468937875744,True,False,False
baseline,0,300000,sampled,2000009,29.68625000000001,80,False,0.2430794923179693,True,False,False
baseline,0,300000,sampled,2000010,65.91749999999996,163,False,0.4411356045424184,True,False,False
baseline,0,300000,sampled,2000011,21.29499999999998,83,False,0.19839679358717435,True,False,False
baseline,0,300000,sampled,2000012,-1.4137499999999932,28,False,0.07410153640614564,True,False,False
baseline,0,300000,sampled,2000013,25.22312499999999,101,False,0.2203507014028056,True,False,False
baseline,0,300000,sampled,2000014,-1.4637499999999974,29,False,0.07388777555110221,True,False,False
baseline,0,300000,sampled,2000015,107.51874999999947,261,False,0.668690714762859,True,False,False
baseline,0,300000,sampled,2000016,90.45999999999964,226,False,0.5756579826319305,True,False,False
