condition,training_seed,global_step,checkpoint_sha256,ppo_updates,ppo_updates_kind,training_feature_refreshes,active_seconds,evaluation_seconds,sampled_episodes,sampled_flags,sampled_flag_rate,sampled_mean_return,sampled_std_return,sampled_mean_length,sampled_mean_progress,greedy_episodes,greedy_flags,greedy_flag_rate,greedy_mean_return,greedy_std_return,greedy_mean_length,greedy_mean_progress
baseline,0,100000,4303e5bf77b66d98fdab329771cc60db8802ed484bf090d7ea29daff72fab565,97,estimated,0,66.65151388699996,4.6349593909999385,20,0,0.0,40.10828124999993,28.798539983659353,132.35,0.30157264529058114,1,0,0.0,-1.4424999999999955,0.0,28.0,0.07394789579158317
baseline,0,200000,f5234e6ef0107e25ddd80aa125aa6a452bf74da8482dfd2160d70ca6556ead66,195,estimated,0,132.77912295200008,10.499413529999856,20,1,0.05,49.934687499999974,52.39100346437267,154.0,0.3378411823647295,1,0,0.0,-1.572499999999998,0.0,29.0,0.07330661322645289
baseline,0,300000,2b77f31cb45122cf177b58741433fb11af069ab31286d0f8521fac56fb189fb8,292,estimated,0,200.61597809800014,14.218894770999896,20,0,0.0,31.16362499999994,30.792300464792422,103.65,0.2522384769539078,1,0,0.0,-1.4337499999999963,0.0,27.0,0.07394121576486305
baseline,0,400000,d75a614ac9d62dee3db670c0c3567c20b400a15f7971f00ce7175db31073fd04,390,estimated,0,269.85712700199997,21.672008232999815,20,4,0.2,87.48928125000009,79.26766336583621,198.3,0.4887586840347362,1,0,0.0,29.68312499999999,0.0,88.0,0.2434903139612558
baseline,0,500000,230b546eb4afa5ba395b8d767633f1593c78cd53c7c7b3b14cf36853cac89c3e,488,estimated,0,343.0898098260002,31.812613949999786,20,9,0.45,131.9976875000002,95.80452389197512,255.65,0.6427735470941884,1,0,0.0,129.11500000000083,0.0,401.0,0.7114228456913828
baseline,0,600000,f4596d14638bbe4b176602e4158451dd109f6d40ef0a825d5397849bca024250,585,estimated,0,426.9503520080002,44.612931840999636,20,14,0.7,182.1189375000004,83.43039175646226,304.15,0.8261977287909152,1,1,1.0,233.4375000000007,0.0,374.0,1.0
baseline,0,700000,f23a7802fdb7132ca4215fa1758fbcf931bb691add0c0c320d86b5d4d508fabf,683,estimated,0,500.3201729360003,54.797041312999454,20,8,0.4,143.7164375000002,83.55323082100986,264.45,0.7232336339345358,1,1,1.0,233.63500000000056,0.0,357.0,1.0
baseline,0,800000,f9d247503a951a5fd2c00bb8730eab712b84950b3aed166e6ec8a7b35ac5e7ab,781,estimated,0,573.7819174570004,64.68724704199917,20,11,0.55,151.24431250000023,93.4365258266318,261.7,0.7111519706078824,1,0,0.0,51.68500000000033,0.0,244.0,0.2892451569806279
baseline,0,900000,ddac413fada8d0f39ce4bcd377668ab3f64e2f47426e5f4f1e2394595a736c31,878,estimated,0,651.0598954740003,74.26370879599904,20,10,0.5,151.0140937500002,84.97603443477924,248.1,0.7265616232464931,1,1,1.0,233.7787500000004,0.0,340.0,1.0
baseline,0,1000000,18d80d8ff50a84b1ecf9e55e3196cb67be40e09a85f6b4308e303a774a44e259,976,estimated,0,725.1248139000004,83.99140753299912,20,15,0.75,187.70350000000028,80.47687045492499,272.75,0.8370985303941216,1,1,1.0,234.02875000000034,0.0,315.0,1.0
baseline,0,1100000,9c45748cb2057af22a77acb68820c9bc37e0b392268923f03e2320b6528d3342,1073,recorded,0,800.5650316950007,94.20643971899915,20,16,0.8,197.92300000000031,73.0550758261791,284.55,0.874753507014028,1,1,1.0,234.1350000000004,0.0,314.0,1.0
baseline,0,1200000,dcfd6fda8c9f280b73913b00386eb3640332d1c6244dfe5a052bc2bd61a0754b,1171,recorded,0,878.9753873920006,105.86599882899918,20,17,0.85,217.56768750000032,39.39923079490877,305.55,0.9636606546426186,1,1,1.0,234.08000000000038,0.0,314.0,1.0
baseline,0,1300000,97b86142aa319254f304f3d84c7986e99a2d2c783a2c5775a92c86c665ba349f,1268,recorded,0,954.9304666570007,117.6077587309992,20,19,0.95,229.55218750000034,19.44269397998171,317.4,0.9935921843687374,1,1,1.0,234.04000000000036,0.0,314.0,1.0
baseline,0,1400000,c05dfc42f22b87ab65575cb87bdc4f19e947d3dba679795926bffa3e84e3b414,1366,recorded,0,1031.7572579860005,128.84375803799935,20,19,0.95,225.64562500000034,36.5650124510697,306.25,0.9720768203072812,1,1,1.0,234.03875000000036,0.0,314.0,1.0
