condition,training_seed,global_step,initial_state,final_state,return,steps,illegal_pickup_dropoff,success,terminated,truncated
zeros,0,20000,1,21,-200.0,200,0,False,False,True
zeros,0,20000,2,22,-200.0,200,0,False,False,True
zeros,0,20000,3,23,-200.0,200,0,False,False,True
zeros,0,20000,4,24,-200.0,200,0,False,False,True
zeros,0,20000,6,26,-200.0,200,0,False,False,True
zeros,0,20000,7,27,-200.0,200,0,False,False,True
zeros,0,20000,8,28,-200.0,200,0,False,False,True
zeros,0,20000,9,29,-200.0,200,0,False,False,True
zeros,0,20000,11,31,-200.0,200,0,False,False,True
zeros,0,20000,12,32,-200.0,200,0,False,False,True
zeros,0,20000,13,33,-200.0,200,0,False,False,True
zeros,0,20000,14,34,-200.0,200,0,False,False,True
zeros,0,20000,21,21,-200.0,200,0,False,False,True
zeros,0,20000,22,22,-200.0,200,0,False,False,True
zeros,0,20000,23,23,-200.0,200,0,False,False,True
zeros,0,20000,24,24,-200.0,200,0,False,False,True
zeros,0,20000,26,26,-200.0,200,0,False,False,True
zeros,0,20000,27,27,-200.0,200,0,False,False,True
zeros,0,20000,28,28,-200.0,200,0,False,False,True
zeros,0,20000,29,29,-200.0,200,0,False,False,True
zeros,0,20000,31,31,-200.0,200,0,False,False,True
zeros,0,20000,32,32,-200.0,200,0,False,False,True
zeros,0,20000,33,33,-200.0,200,0,False,False,True
zeros,0,20000,34,34,-200.0,200,0,False,False,True
zeros,0,20000,41,81,-200.0,200,0,False,False,True
zeros,0,20000,42,82,-200.0,200,0,False,False,True
zeros,0,20000,43,83,-200.0,200,0,False,False,True
zeros,0,20000,44,84,-200.0,200,0,False,False,True
zeros,0,20000,46,86,-200.0,200,0,False,False,True
zeros,0,20000,47,87,-200.0,200,0,False,False,True
zeros,0,20000,48,88,-200.0,200,0,False,False,True
zeros,0,20000,49,89,-200.0,200,0,False,False,True
zeros,0,20000,51,91,-200.0,200,0,False,False,True
zeros,0,20000,52,92,-200.0,200,0,False,False,True
zeros,0,20000,53,93,-200.0,200,0,False,False,True
zeros,0,20000,54,94,-200.0,200,0,False,False,True
zeros,0,20000,61,81,-200.0,200,0,False,False,True
zeros,0,20000,62,82,-200.0,200,0,False,False,True
zeros,0,20000,63,83,-200.0,200,0,False,False,True
zeros,0,20000,64,84,-200.0,200,0,False,False,True
zeros,0,20000,66,86,-200.0,200,0,False,False,True
zeros,0,20000,67,87,-200.0,200,0,False,False,True
zeros,0,20000,68,88,-200.0,200,0,False,False,True
zeros,0,20000,69,89,-200.0,200,0,False,False,True
zeros,0,20000,71,91,-200.0,200,0,False,False,True
zeros,0,20000,72,92,-200.0,200,0,False,False,True
zeros,0,20000,73,93,-200.0,200,0,False,False,True
zeros,0,20000,74,94,-200.0,200,0,False,False,True
zeros,0,20000,81,81,-200.0,200,0,False,False,True
zeros,0,20000,82,82,-200.0,200,0,False,False,True
zeros,0,20000,83,83,-200.0,200,0,False,False,True
zeros,0,20000,84,84,-200.0,200,0,False,False,True
zeros,0,20000,86,86,-200.0,200,0,False,False,True
zeros,0,20000,87,87,-200.0,200,0,False,False,True
zeros,0,20000,88,88,-200.0,200,0,False,False,True
zeros,0,20000,89,89,-200.0,200,0,False,False,True
zeros,0,20000,91,91,-200.0,200,0,False,False,True
zeros,0,20000,92,92,-200.0,200,0,False,False,True
zeros,0,20000,93,93,-200.0,200,0,False,False,True
zeros,0,20000,94,94,-200.0,200,0,False,False,True
zeros,0,20000,101,121,-200.0,200,0,False,False,True
zeros,0,20000,102,122,-200.0,200,0,False,False,True
zeros,0,20000,103,123,-200.0,200,0,False,False,True
zeros,0,20000,104,124,-200.0,200,0,False,False,True
zeros,0,20000,106,126,-200.0,200,0,False,False,True
zeros,0,20000,107,127,-200.0,200,0,False,False,True
zeros,0,20000,108,128,-200.0,200,0,False,False,True
zeros,0,20000,109,129,-200.0,200,0,False,False,True
zeros,0,20000,111,131,-200.0,200,0,False,False,True
zeros,0,20000,112,132,-200.0,200,0,False,False,True
zeros,0,20000,113,133,-200.0,200,0,False,False,True
zeros,0,20000,114,134,-200.0,200,0,False,False,True
zeros,0,20000,121,121,-200.0,200,0,False,False,True
zeros,0,20000,122,122,-200.0,200,0,False,False,True
zeros,0,20000,123,123,-200.0,200,0,False,False,True
zeros,0,20000,124,124,-200.0,200,0,False,False,True
zeros,0,20000,126,126,-200.0,200,0,False,False,True
zeros,0,20000,127,127,-200.0,200,0,False,False,True
zeros,0,20000,128,128,-200.0,200,0,False,False,True
zeros,0,20000,129,129,-200.0,200,0,False,False,True
zeros,0,20000,131,131,-200.0,200,0,False,False,True
zeros,0,20000,132,132,-200.0,200,0,False,False,True
zeros,0,20000,133,133,-200.0,200,0,False,False,True
zeros,0,20000,134,134,-200.0,200,0,False,False,True
zeros,0,20000,141,181,-200.0,200,0,False,False,True
zeros,0,20000,142,182,-200.0,200,0,False,False,True
zeros,0,20000,143,183,-200.0,200,0,False,False,True
zeros,0,20000,144,184,-200.0,200,0,False,False,True
zeros,0,20000,146,186,-200.0,200,0,False,False,True
zeros,0,20000,147,187,-200.0,200,0,False,False,True
zeros,0,20000,148,188,-200.0,200,0,False,False,True
zeros,0,20000,149,189,-200.0,200,0,False,False,True
zeros,0,20000,151,191,-200.0,200,0,False,False,True
zeros,0,20000,152,192,-200.0,200,0,False,False,True
zeros,0,20000,153,193,-200.0,200,0,False,False,True
zeros,0,20000,154,194,-200.0,200,0,False,False,True
zeros,0,20000,161,181,-200.0,200,0,False,False,True
zeros,0,20000,162,182,-200.0,200,0,False,False,True
zeros,0,20000,163,183,-200.0,200,0,False,False,True
zeros,0,20000,164,184,-200.0,200,0,False,False,True
zeros,0,20000,166,186,-200.0,200,0,False,False,True
zeros,0,20000,167,187,-200.0,200,0,False,False,True
zeros,0,20000,168,188,-200.0,200,0,False,False,True
zeros,0,20000,169,189,-200.0,200,0,False,False,True
zeros,0,20000,171,191,-200.0,200,0,False,False,True
zeros,0,20000,172,192,-200.0,200,0,False,False,True
zeros,0,20000,173,193,-200.0,200,0,False,False,True
zeros,0,20000,174,194,-200.0,200,0,False,False,True
zeros,0,20000,181,181,-200.0,200,0,False,False,True
zeros,0,20000,182,182,-200.0,200,0,False,False,True
zeros,0,20000,183,183,-200.0,200,0,False,False,True
zeros,0,20000,184,184,-200.0,200,0,False,False,True
zeros,0,20000,186,186,-200.0,200,0,False,False,True
zeros,0,20000,187,187,-200.0,200,0,False,False,True
zeros,0,20000,188,188,-200.0,200,0,False,False,True
zeros,0,20000,189,189,-200.0,200,0,False,False,True
zeros,0,20000,191,191,-200.0,200,0,False,False,True
zeros,0,20000,192,192,-200.0,200,0,False,False,True
zeros,0,20000,193,193,-200.0,200,0,False,False,True
zeros,0,20000,194,194,-200.0,200,0,False,False,True
zeros,0,20000,201,281,-200.0,200,0,False,False,True
zeros,0,20000,202,282,-200.0,200,0,False,False,True
zeros,0,20000,203,283,-200.0,200,0,False,False,True
zeros,0,20000,204,284,-200.0,200,0,False,False,True
zeros,0,20000,206,286,-200.0,200,0,False,False,True
zeros,0,20000,207,287,-200.0,200,0,False,False,True
zeros,0,20000,208,288,-200.0,200,0,False,False,True
zeros,0,20000,209,289,-200.0,200,0,False,False,True
zeros,0,20000,211,291,-200.0,200,0,False,False,True
zeros,0,20000,212,292,-200.0,200,0,False,False,True
zeros,0,20000,213,293,-200.0,200,0,False,False,True
zeros,0,20000,214,294,-200.0,200,0,False,False,True
zeros,0,20000,221,281,-200.0,200,0,False,False,True
zeros,0,20000,222,282,-200.0,200,0,False,False,True
zeros,0,20000,223,283,-200.0,200,0,False,False,True
zeros,0,20000,224,284,-200.0,200,0,False,False,True
zeros,0,20000,226,286,-200.0,200,0,False,False,True
zeros,0,20000,227,287,-200.0,200,0,False,False,True
zeros,0,20000,228,288,-200.0,200,0,False,False,True
zeros,0,20000,229,289,-200.0,200,0,False,False,True
zeros,0,20000,231,291,-200.0,200,0,False,False,True
zeros,0,20000,232,292,-200.0,200,0,False,False,True
zeros,0,20000,233,293,-200.0,200,0,False,False,True
zeros,0,20000,234,294,-200.0,200,0,False,False,True
zeros,0,20000,241,281,-200.0,200,0,False,False,True
zeros,0,20000,242,282,-200.0,200,0,False,False,True
zeros,0,20000,243,283,-200.0,200,0,False,False,True
zeros,0,20000,244,284,-200.0,200,0,False,False,True
zeros,0,20000,246,286,-200.0,200,0,False,False,True
zeros,0,20000,247,287,-200.0,200,0,False,False,True
zeros,0,20000,248,288,-200.0,200,0,False,False,True
zeros,0,20000,249,289,-200.0,200,0,False,False,True
zeros,0,20000,251,291,-200.0,200,0,False,False,True
zeros,0,20000,252,292,-200.0,200,0,False,False,True
zeros,0,20000,253,293,-200.0,200,0,False,False,True
zeros,0,20000,254,294,-200.0,200,0,False,False,True
zeros,0,20000,261,281,-200.0,200,0,False,False,True
zeros,0,20000,262,282,-200.0,200,0,False,False,True
zeros,0,20000,263,283,-200.0,200,0,False,False,True
zeros,0,20000,264,284,-200.0,200,0,False,False,True
zeros,0,20000,266,286,-200.0,200,0,False,False,True
zeros,0,20000,267,287,-200.0,200,0,False,False,True
zeros,0,20000,268,288,-200.0,200,0,False,False,True
zeros,0,20000,269,289,-200.0,200,0,False,False,True
zeros,0,20000,271,291,-200.0,200,0,False,False,True
zeros,0,20000,272,292,-200.0,200,0,False,False,True
zeros,0,20000,273,293,-200.0,200,0,False,False,True
zeros,0,20000,274,294,-200.0,200,0,False,False,True
zeros,0,20000,281,281,-200.0,200,0,False,False,True
zeros,0,20000,282,282,-200.0,200,0,False,False,True
zeros,0,20000,283,283,-200.0,200,0,False,False,True
zeros,0,20000,284,284,-200.0,200,0,False,False,True
zeros,0,20000,286,286,-200.0,200,0,False,False,True
zeros,0,20000,287,287,-200.0,200,0,False,False,True
zeros,0,20000,288,288,-200.0,200,0,False,False,True
zeros,0,20000,289,289,-200.0,200,0,False,False,True
zeros,0,20000,291,291,-200.0,200,0,False,False,True
zeros,0,20000,292,292,-200.0,200,0,False,False,True
zeros,0,20000,293,293,-200.0,200,0,False,False,True
