condition,training_seed,initial_checkpoint_sha256,initial_episodes,initial_successes,initial_success_rate,initial_mean_return,initial_mean_illegal_pickup_dropoff,final_episodes,final_successes,final_success_rate,final_mean_return,final_mean_illegal_pickup_dropoff
zeros,0,2fc3c65704aea7b1cdc040f85309d5c1bb79418e36815826dbb8851963ccafac,300,0,0.0,-1206.92,111.88,300,0,0.0,-200.0,0.0
zeros,1,120d6378a192ad00862433bb1f74bf281e794600075d0d3139e267ef568b7ccf,300,0,0.0,-1230.47,114.49666666666667,300,0,0.0,-200.0,0.0
zeros,2,472e51a8c42c5be903ce9f2b615bf7e921b18b891a164114f90e096271912d6c,300,0,0.0,-200.0,0.0,300,0,0.0,-200.0,0.0
zeros,3,1154b96fc369f40c8a01523744ef4c8fda6ed3bfc5a6b488cc0a3beeba4c656b,300,0,0.0,-906.05,78.45,300,0,0.0,-200.0,0.0
zeros,4,1e79bd137f636a69e500b26762cb78d7383f665917d26a23b301791ca932ff48,300,0,0.0,-421.76,24.64,300,0,0.0,-200.0,0.0
rules,0,4dce4865fa61145d2a0f2d14658610f4780d3db031f2b9347c594a9c03d964f5,300,0,0.0,-1313.75,123.75,300,0,0.0,-200.0,0.0
rules,1,3ea68f0c2d0f8e086d6a00b63222c560528a71c1cd9b1033e4a503d62e5fc3fd,300,0,0.0,-1277.81,119.75666666666666,300,0,0.0,-200.0,0.0
rules,2,8db93ccc4865e089db3128a000e03efe3e2055798460c889d1362fe55fd02017,300,0,0.0,-200.0,0.0,300,0,0.0,-200.0,0.0
rules,3,e90b040e148bb1252c07d3423ccf6438a9344f1312daa8e5625f1a92cbbec393,300,0,0.0,-948.11,83.12333333333333,300,0,0.0,-200.0,0.0
rules,4,331b028e2fd6660275287014b29544fc86ac3162e256dab2f3ac183b9984d0ba,300,0,0.0,-457.73,28.636666666666667,300,0,0.0,-200.0,0.0
jev,0,bd78c451ccedf634ecbe50c5ca8e195f7c85b449a4172d989be451640dcac9d7,300,0,0.0,-1296.02,121.78,300,0,0.0,-200.0,0.0
jev,1,50b21bbab4a3af01c4c4cd8d96446156c0a0be38175ae6777253fd156f14284c,300,0,0.0,-1457.51,139.72333333333333,300,0,0.0,-200.0,0.0
jev,2,7d1cbc15310c388d23bb527d479c7f5fe4de20e823ad05d1eea1e932d4031b48,300,0,0.0,-200.0,0.0,300,0,0.0,-200.0,0.0
jev,3,551c45267316bab184bb3f9768c890ecca9a1687464ccdfa0b02f5b9c670bfcf,300,0,0.0,-918.44,79.82666666666667,300,0,0.0,-200.0,0.0
jev,4,72157fc7b5d8f525f534b5e42530003e30f7103ffec6951f6b71e15caee9d951,300,0,0.0,-469.67,29.963333333333335,300,0,0.0,-200.0,0.0
