condition,training_seed,initial_checkpoint_sha256,initial_state,final_state,return,steps,illegal_pickup_dropoff,success,terminated,truncated
zeros,0,2fc3c65704aea7b1cdc040f85309d5c1bb79418e36815826dbb8851963ccafac,1,1,-2000.0,200,200,False,False,True
zeros,0,2fc3c65704aea7b1cdc040f85309d5c1bb79418e36815826dbb8851963ccafac,2,2,-2000.0,200,200,False,False,True
zeros,0,2fc3c65704aea7b1cdc040f85309d5c1bb79418e36815826dbb8851963ccafac,3,23,-200.0,200,0,False,False,True
zeros,0,2fc3c65704aea7b1cdc040f85309d5c1bb79418e36815826dbb8851963ccafac,4,4,-2000.0,200,200,False,False,True
zeros,0,2fc3c65704aea7b1cdc040f85309d5c1bb79418e36815826dbb8851963ccafac,6,6,-2000.0,200,200,False,False,True
zeros,0,2fc3c65704aea7b1cdc040f85309d5c1bb79418e36815826dbb8851963ccafac,7,7,-2000.0,200,200,False,False,True
zeros,0,2fc3c65704aea7b1cdc040f85309d5c1bb79418e36815826dbb8851963ccafac,8,8,-2000.0,200,200,False,False,True
zeros,0,2fc3c65704aea7b1cdc040f85309d5c1bb79418e36815826dbb8851963ccafac,9,9,-2000.0,200,200,False,False,True
zeros,0,2fc3c65704aea7b1cdc040f85309d5c1bb79418e36815826dbb8851963ccafac,11,11,-2000.0,200,200,False,False,True
zeros,0,2fc3c65704aea7b1cdc040f85309d5c1bb79418e36815826dbb8851963ccafac,12,12,-2000.0,200,200,False,False,True
zeros,0,2fc3c65704aea7b1cdc040f85309d5c1bb79418e36815826dbb8851963ccafac,13,13,-2000.0,200,200,False,False,True
zeros,0,2fc3c65704aea7b1cdc040f85309d5c1bb79418e36815826dbb8851963ccafac,14,14,-2000.0,200,200,False,False,True
zeros,0,2fc3c65704aea7b1cdc040f85309d5c1bb79418e36815826dbb8851963ccafac,21,21,-2000.0,200,200,False,False,True
zeros,0,2fc3c65704aea7b1cdc040f85309d5c1bb79418e36815826dbb8851963ccafac,22,22,-200.0,200,0,False,False,True
zeros,0,2fc3c65704aea7b1cdc040f85309d5c1bb79418e36815826dbb8851963ccafac,23,23,-200.0,200,0,False,False,True
zeros,0,2fc3c65704aea7b1cdc040f85309d5c1bb79418e36815826dbb8851963ccafac,24,24,-200.0,200,0,False,False,True
zeros,0,2fc3c65704aea7b1cdc040f85309d5c1bb79418e36815826dbb8851963ccafac,26,26,-2000.0,200,200,False,False,True
zeros,0,2fc3c65704aea7b1cdc040f85309d5c1bb79418e36815826dbb8851963ccafac,27,27,-200.0,200,0,False,False,True
zeros,0,2fc3c65704aea7b1cdc040f85309d5c1bb79418e36815826dbb8851963ccafac,28,28,-2000.0,200,200,False,False,True
zeros,0,2fc3c65704aea7b1cdc040f85309d5c1bb79418e36815826dbb8851963ccafac,29,29,-2000.0,200,200,False,False,True
zeros,0,2fc3c65704aea7b1cdc040f85309d5c1bb79418e36815826dbb8851963ccafac,31,31,-2000.0,200,200,False,False,True
zeros,0,2fc3c65704aea7b1cdc040f85309d5c1bb79418e36815826dbb8851963ccafac,32,32,-200.0,200,0,False,False,True
zeros,0,2fc3c65704aea7b1cdc040f85309d5c1bb79418e36815826dbb8851963ccafac,33,33,-2000.0,200,200,False,False,True
zeros,0,2fc3c65704aea7b1cdc040f85309d5c1bb79418e36815826dbb8851963ccafac,34,34,-200.0,200,0,False,False,True
zeros,0,2fc3c65704aea7b1cdc040f85309d5c1bb79418e36815826dbb8851963ccafac,41,41,-2000.0,200,200,False,False,True
zeros,0,2fc3c65704aea7b1cdc040f85309d5c1bb79418e36815826dbb8851963ccafac,42,42,-2000.0,200,200,False,False,True
zeros,0,2fc3c65704aea7b1cdc040f85309d5c1bb79418e36815826dbb8851963ccafac,43,83,-200.0,200,0,False,False,True
zeros,0,2fc3c65704aea7b1cdc040f85309d5c1bb79418e36815826dbb8851963ccafac,44,44,-2000.0,200,200,False,False,True
zeros,0,2fc3c65704aea7b1cdc040f85309d5c1bb79418e36815826dbb8851963ccafac,46,46,-2000.0,200,200,False,False,True
zeros,0,2fc3c65704aea7b1cdc040f85309d5c1bb79418e36815826dbb8851963ccafac,47,87,-1982.0,200,198,False,False,True
zeros,0,2fc3c65704aea7b1cdc040f85309d5c1bb79418e36815826dbb8851963ccafac,48,48,-2000.0,200,200,False,False,True
zeros,0,2fc3c65704aea7b1cdc040f85309d5c1bb79418e36815826dbb8851963ccafac,49,49,-2000.0,200,200,False,False,True
zeros,0,2fc3c65704aea7b1cdc040f85309d5c1bb79418e36815826dbb8851963ccafac,51,51,-2000.0,200,200,False,False,True
zeros,0,2fc3c65704aea7b1cdc040f85309d5c1bb79418e36815826dbb8851963ccafac,52,92,-1982.0,200,198,False,False,True
zeros,0,2fc3c65704aea7b1cdc040f85309d5c1bb79418e36815826dbb8851963ccafac,53,53,-2000.0,200,200,False,False,True
zeros,0,2fc3c65704aea7b1cdc040f85309d5c1bb79418e36815826dbb8851963ccafac,54,54,-200.0,200,0,False,False,True
zeros,0,2fc3c65704aea7b1cdc040f85309d5c1bb79418e36815826dbb8851963ccafac,61,61,-2000.0,200,200,False,False,True
zeros,0,2fc3c65704aea7b1cdc040f85309d5c1bb79418e36815826dbb8851963ccafac,62,82,-1991.0,200,199,False,False,True
zeros,0,2fc3c65704aea7b1cdc040f85309d5c1bb79418e36815826dbb8851963ccafac,63,83,-200.0,200,0,False,False,True
