condition,training_seed,global_step,checkpoint_sha256,ppo_updates,optimizer_steps,episodes,successes,success_rate,mean_return,std_return,mean_length,mean_illegal_pickup_dropoff,logical_feature_refreshes,physical_api_requests
zeros,0,20000,e1ccf6de5df682c954348a76dff7da663615bc3ba715ce1147ae19bcf2723aea,19,304,300,0,0.0,-200.0,0.0,200.0,0.0,0,0
zeros,0,40000,6d0bb42ae8ed946abc5ae90a414e8323f16f47c2f3eec55c904d92953e43e3ad,39,624,300,0,0.0,-200.0,0.0,200.0,0.0,0,0
zeros,0,60000,5d56388e4f60852f195a017565532f350c50fe14fba8ac9fa6be9289410ce50a,58,928,300,0,0.0,-200.0,0.0,200.0,0.0,0,0
zeros,0,80000,e2af85a76f69ab313c9eda600f7d4e52fda9190fb94a2f372b267ef8e3e48bce,78,1248,300,0,0.0,-200.0,0.0,200.0,0.0,0,0
zeros,0,100000,3800ac4bbf47f8d1d9ade5f2951285d46448a017045e3130233cf45cdfee7a5d,97,1552,300,0,0.0,-200.0,0.0,200.0,0.0,0,0
zeros,0,120000,7379e37f782845d5842a640ae7ff28f1742652d38104c2f7aa892f6f0f8e1d1c,117,1872,300,0,0.0,-200.0,0.0,200.0,0.0,0,0
zeros,0,140000,4b7ea08ca5beb3ac269d671ae4824ec1554e6e3991ea5c9b022791f2312f1880,136,2176,300,0,0.0,-200.0,0.0,200.0,0.0,0,0
zeros,0,160000,996f74dae0ac13087174f1172e3e818ece5d94e9dcebea4bdf5f61bae759d029,156,2496,300,0,0.0,-200.0,0.0,200.0,0.0,0,0
zeros,0,180000,89a70a880760cb912bcc2a9e696a35a121222357fa066c72c0eab38de5c9b11a,175,2800,300,0,0.0,-200.0,0.0,200.0,0.0,0,0
zeros,0,200000,ce6f9efdd792384834abdc626c125f2dc29d9388924ab838e4c970c8027e77e7,195,3120,300,0,0.0,-200.0,0.0,200.0,0.0,0,0
zeros,1,20000,8eaf6ae86cc74d633bae15c572d6774af9b21a07275975c2272427e922afa055,19,304,300,0,0.0,-200.0,0.0,200.0,0.0,0,0
zeros,1,40000,55a752c01ea45333f5084dcd54a5c27dd81c1d58d4abb75473457f053b0d5980,39,624,300,0,0.0,-200.0,0.0,200.0,0.0,0,0
zeros,1,60000,55bb495e17d002de2856fba0c3a84bd3d72065ee39b165352a4f1e6ea698e6e2,58,928,300,0,0.0,-200.0,0.0,200.0,0.0,0,0
zeros,1,80000,25554daf09c99251cbaef2a43f00dcbcceac28267ed1e0254baf3eeec0b2ed9f,78,1248,300,0,0.0,-200.0,0.0,200.0,0.0,0,0
zeros,1,100000,d25dc1181cc0493cd3ef5a9173d414f8c9b860cd19a5e30a3791c86b566a1857,97,1552,300,0,0.0,-200.0,0.0,200.0,0.0,0,0
zeros,1,120000,e6c65a3b6a065d066befe90133d93a2b963bd83d6ea6d7e92829abfc95401ef2,117,1872,300,0,0.0,-200.0,0.0,200.0,0.0,0,0
zeros,1,140000,6d8b8ff86cd0ca24866bcdae0a4354b37414a05cba52bc5a220e715a562273ba,136,2176,300,0,0.0,-200.0,0.0,200.0,0.0,0,0
zeros,1,160000,846e0721436eb0e789707774385ae96eae92a4457ef0a529e63a7e2dc3bb6005,156,2496,300,0,0.0,-200.0,0.0,200.0,0.0,0,0
zeros,1,180000,c39ee72275d7270a7703e36c15598c2a6d5fc1cca6b219b3d14a083f064b7618,175,2800,300,0,0.0,-200.0,0.0,200.0,0.0,0,0
zeros,1,200000,43b19ceb8d95b26aa8e6958c7b30b94743ff1437645c28b5092cb9da44e97f5a,195,3120,300,0,0.0,-200.0,0.0,200.0,0.0,0,0
zeros,2,20000,905bf445a1f9bd60f34a6a98eb036fc4c76c1b28b588efe6f4ee91ceb8f54663,19,304,300,0,0.0,-200.0,0.0,200.0,0.0,0,0
zeros,2,40000,8acd943612e3ffce7981effe9aede157f48fdaf068f5549f54ba2dd9926386d5,39,624,300,0,0.0,-200.0,0.0,200.0,0.0,0,0
zeros,2,60000,b1c5052972b3fd22fadef5d9bd73812709950b48b1b16e4a66066960d90adad8,58,928,300,0,0.0,-200.0,0.0,200.0,0.0,0,0
zeros,2,80000,54dccb13c0150c82387aab54ad6c4493163559d672602504d0aab714cdc8c75f,78,1248,300,0,0.0,-200.0,0.0,200.0,0.0,0,0
zeros,2,100000,5ff9076df3f91270d56f70263aaea8cb921501ef7fbef08eeb6e8d72458aba39,97,1552,300,0,0.0,-200.0,0.0,200.0,0.0,0,0
zeros,2,120000,6c3c410a30228007e986e580c87827b93737e753326892667fd0f370bc4b1686,117,1872,300,0,0.0,-200.0,0.0,200.0,0.0,0,0
zeros,2,140000,dfb4b6fcd8bf88560f43becaa84659c4dc6aa1875ef07f58679e7f70beb80952,136,2176,300,0,0.0,-200.0,0.0,200.0,0.0,0,0
zeros,2,160000,622b78fd14263d575525f837f2be5d600392f1b434c1c8b0ebe7cb9dededac81,156,2496,300,0,0.0,-200.0,0.0,200.0,0.0,0,0
zeros,2,180000,ee1fbde6aa1e5d986d910a8fcbdca9cf45162c9a4a44f822d90ce3f7f6b18996,175,2800,300,0,0.0,-200.0,0.0,200.0,0.0,0,0
zeros,2,200000,3332fcc87095c02ef07f40bc90b27f0b4339451e8dffb8104e15f682758b7c91,195,3120,300,0,0.0,-200.0,0.0,200.0,0.0,0,0
zeros,3,20000,12ceee8cdf7b482e02f4f7857835787dd03df3bdfa99cf17020fb2e8bc29a451,19,304,300,0,0.0,-200.0,0.0,200.0,0.0,0,0
zeros,3,40000,839a5abc65c94923a9ef7d490ae9b9d285bc47c895aa965a50c8abea33a2d73d,39,624,300,0,0.0,-200.0,0.0,200.0,0.0,0,0
zeros,3,60000,8e3e70c4c5d28d8f0253ff8bbc01dbca1c65fc7130dfd95b0d05fb99e4853a10,58,928,300,0,0.0,-200.0,0.0,200.0,0.0,0,0
zeros,3,80000,b053e671660a3d26f86c52c21b9316154c75e48bd3be1646140fa5ca1691ab4c,78,1248,300,0,0.0,-200.0,0.0,200.0,0.0,0,0
zeros,3,100000,43d9188df5548bdda0973bb41274e0729e78d055e2757e9b8c0bddffaa337bd1,97,1552,300,0,0.0,-200.0,0.0,200.0,0.0,0,0
zeros,3,120000,95d5697a095369fed79438320ece1a39db70790a0388ab8a0efb86beede50762,117,1872,300,0,0.0,-200.0,0.0,200.0,0.0,0,0
zeros,3,140000,bf322b4df90155b8a1ade04e96ab376b338cca8db1fd51ddafe9d63fba964989,136,2176,300,0,0.0,-200.0,0.0,200.0,0.0,0,0
zeros,3,160000,e7d3fe7644d004f3dca6eb8afb3f07a08dbb011ce194a48144129f8bec3f0591,156,2496,300,0,0.0,-200.0,0.0,200.0,0.0,0,0
